Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,116.81287735242124,117.9075649117361,116.36999384590145,117.89920043945312,10803700,0.0,0.0
2020-01-03 00:00:00-05:00,115.63691989521577,117.09183900332123,115.28370320708147,116.34335327148438,10386800,0.9,0.0
2020-01-06 00:00:00-05:00,114.84640801602077,116.28451677614038,114.7959503108552,116.25086975097656,10259000,0.0,0.0
2020-01-07 00:00:00-05:00,115.45189452188825,115.9396735925239,114.22404792388873,114.27450561523438,10531300,0.0,0.0
2020-01-08 00:00:00-05:00,114.12310772932315,115.70418366593277,114.03901586343292,115.16594696044922,9695300,0.0,0.0
2020-01-09 00:00:00-05:00,116.09947953888953,116.25085263209532,115.2500655184183,115.58647155761719,9469000,0.0,0.0
2020-01-10 00:00:00-05:00,115.39303797081031,115.42667215607003,114.2156361654825,114.4343032836914,10190900,0.0,0.0
2020-01-13 00:00:00-05:00,114.53519681241839,115.38459777832031,114.17356201886516,115.38459777832031,12355200,0.0,0.0
2020-01-14 00:00:00-05:00,116.00698284132041,118.3785847360349,115.79673385482607,116.73023986816406,24906000,0.0,0.0
2020-01-15 00:00:00-05:00,115.93129416866786,116.56204111663106,114.50159082055434,114.98096466064453,16293400,0.0,0.0
2020-01-16 00:00:00-05:00,115.59487812365074,115.97332369326148,115.08187013693181,115.42668151855469,10783800,0.0,0.0
2020-01-17 00:00:00-05:00,115.67056374278951,116.30131063127173,115.48555646147344,116.22562408447266,14697700,0.0,0.0
2020-01-21 00:00:00-05:00,115.37620177163151,116.11628209171722,114.95570392296025,115.08184814453125,8474200,0.0,0.0
2020-01-22 00:00:00-05:00,115.41827987633013,115.55282946516931,114.69502290193199,114.94731140136719,7549100,0.0,0.0
2020-01-23 00:00:00-05:00,114.13155169733747,114.99777639051999,113.29896119159876,114.8295669555664,9345700,0.0,0.0
2020-01-24 00:00:00-05:00,114.68659175957201,114.73704945375246,111.28056907661808,111.97858428955078,15166400,0.0,0.0
2020-01-27 00:00:00-05:00,109.55651898285218,111.80197607571017,109.08556342020316,111.03666687011719,12860500,0.0,0.0
2020-01-28 00:00:00-05:00,111.71787353408547,113.50919860699318,111.41511454757398,113.0550537109375,13062800,0.0,0.0
2020-01-29 00:00:00-05:00,113.37463515465771,113.98855845985048,112.432724019833,112.88685607910156,9326000,0.0,0.0
2020-01-30 00:00:00-05:00,111.5917367947321,114.48476445281928,111.5917367947321,114.28292083740234,9048900,0.0,0.0
