Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,149.80826738510748,151.6480813822625,149.38369713908767,151.54429626464844,22622100,0.0,0.0
2020-01-03 00:00:00-05:00,149.3742808567233,150.91216941551934,149.12896270387338,149.65731811523438,21116200,0.0,0.0
2020-01-06 00:00:00-05:00,148.20429950761726,150.11016476552868,147.66650007283684,150.0441131591797,20813700,0.0,0.0
2020-01-07 00:00:00-05:00,150.31777448312974,150.64798941189073,148.43078267327837,148.67608642578125,21634100,0.0,0.0
2020-01-08 00:00:00-05:00,149.94976152661232,151.71410823807295,149.02513979117086,151.04421997070312,27746500,0.0,0.0
2020-01-09 00:00:00-05:00,152.69529374996068,153.053826612791,151.9310647710623,152.93116760253906,21385000,0.0,0.0
2020-01-10 00:00:00-05:00,153.61998638373208,153.99737892867375,152.0726395183041,152.22360229492188,20725900,0.0,0.0
2020-01-13 00:00:00-05:00,152.61985290151284,154.08227405500872,152.1481050711336,154.05397033691406,21626500,0.0,0.0
2020-01-14 00:00:00-05:00,154.15774765402992,154.3558880672922,152.5821117076889,152.9689483642578,23477400,0.0,0.0
2020-01-15 00:00:00-05:00,153.43125473603405,154.6766758779403,153.38409147181704,153.95960998535156,21417900,0.0,0.0
2020-01-16 00:00:00-05:00,155.06353066383713,156.84673703698928,154.76160511659748,156.7806854248047,23865400,0.0,0.0
2020-01-17 00:00:00-05:00,157.9600226609014,158.00720031754435,156.08246134066826,157.65811157226562,34371700,0.0,0.0
2020-01-21 00:00:00-05:00,157.26184806350182,158.68653570911525,157.02597415095403,157.09202575683594,29517200,0.0,0.0
2020-01-22 00:00:00-05:00,157.94117430658434,158.02609986094006,156.3183605520355,156.3372344970703,24138800,0.0,0.0
2020-01-23 00:00:00-05:00,156.79956995767952,157.37510297393763,155.93155554566133,157.29962158203125,19680800,0.0,0.0
2020-01-24 00:00:00-05:00,158.0450052974697,158.06387924798452,155.1579099227608,155.71456909179688,24918100,0.0,0.0
2020-01-27 00:00:00-05:00,152.04430378397066,154.14830924899513,151.14798588100405,153.11045837402344,32078100,0.0,0.0
2020-01-28 00:00:00-05:00,154.52572901855586,156.3938465269941,153.8558551144735,156.11080932617188,24899900,0.0,0.0
2020-01-29 00:00:00-05:00,158.35628668301973,159.21487107258014,156.32777704725325,158.54498291015625,34754500,0.0,0.0
2020-01-30 00:00:00-05:00,164.21540956252485,164.21540956252485,161.13960473946636,163.0171661376953,51597500,0.0,0.0
2020-01-31 00:00:00-05:00,162.47938348314258,162.65863555385778,159.99798545017555,160.6112518310547,36142700,0.0,0.0
2020-02-03 00:00:00-05:00,160.79995976933012,164.63999404803988,160.77165605102132,164.5267791748047,30107000,0.0,0.0
2020-02-04 00:00:00-05:00,167.13083064355817,170.43306565128077,166.34772747127744,169.94244384765625,36433300,0.0,0.0
2020-02-05 00:00:00-05:00,173.6315517867718,173.79194436445303,168.3291093605149,169.7349090576172,39186300,0.0,0.0
2020-02-06 00:00:00-05:00,170.7444028199159,173.4333710847966,169.88581835396727,173.2541046142578,27751400,0.0,0.0
2020-02-07 00:00:00-05:00,172.51819099249076,175.14110783338012,172.16908780090657,173.49942016601562,33529100,0.0,0.0
2020-02-10 00:00:00-05:00,173.20694984601053,178.16973226048214,172.89559452391404,178.0376434326172,35844300,0.0,0.0
2020-02-11 00:00:00-05:00,179.87739370741926,179.92457135712058,173.13140730145125,174.01829528808594,53159900,0.0,0.0
2020-02-12 00:00:00-05:00,175.0938924890071,175.34864029904801,171.57465838803572,174.27305603027344,47062900,0.0,0.0
2020-02-13 00:00:00-05:00,172.7351525724815,175.70715754773664,172.53701218905192,173.32955932617188,35295800,0.0,0.0
