Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02,63.4680276318617,64.36306299420752,63.38882251347651,64.33930206298828,12728900,0.0,0.0
2020-01-03,63.20666402758348,63.77694462015863,62.92943699316636,63.1274528503418,12437400,0.0,0.0
2020-01-06,62.35122526339978,63.00863926663426,62.35122526339978,62.92942810058594,10059500,0.0,0.0
2020-01-07,62.802681252211315,62.81060357490359,62.35912786883012,62.38288879394531,10469100,0.0,0.0
2020-01-08,62.39084130344289,63.365082099629355,62.319558486704075,62.85816192626953,11292400,0.0,0.0
2020-01-09,64.14129452268097,64.14129452268097,63.15121530769305,63.428436279296875,12895900,0.0,0.0
2020-01-10,63.365066480185334,63.372988805525175,62.62844734063463,62.771018981933594,10062100,0.0,0.0
2020-01-13,62.96905050791522,63.93536897943942,62.5730187437145,63.87992477416992,16566300,0.0,0.0
2020-01-14,64.315544110476,65.82838806858437,64.13337291693287,64.87791442871094,24971800,0.0,0.0
2020-01-15,64.7353444213226,64.9888044679189,63.943281020338645,64.34722900390625,16063600,0.0,0.0
2020-01-16,64.91751514398493,65.05216447085452,64.03832429189545,64.15713500976562,10426000,0.0,0.0
2020-01-17,64.28386526642521,64.47395878099701,64.00663825576,64.25218200683594,12413100,0.0,0.0
2020-01-21,63.74525631335036,64.08584377017092,63.26209722244296,63.285858154296875,10522000,0.0,0.0
2020-01-22,63.52349912826617,63.7452820152393,63.254200401390314,63.44429397583008,8045600,0.0,0.0
2020-01-23,63.03240631090477,63.42843800769161,62.509641570523364,63.206661224365234,11618200,0.0,0.0
2020-01-24,63.06407351118266,63.103673044998,61.495785732400726,62.11359405517578,15036100,0.0,0.0
2020-01-27,60.40275586768386,60.988881084780374,60.0780069768694,60.75918197631836,15859600,0.0,0.0
2020-01-28,61.155217030156614,61.88391393931786,60.81462951172797,61.178977966308594,10960200,0.0,0.0
2020-01-29,61.416607976053065,61.70175133555842,60.52157834608448,60.577022552490234,9478900,0.0,0.0
2020-01-30,59.99088618996304,61.41660286893384,59.80079264708853,61.32947540283203,12498200,0.0,0.0
