Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02,30.181851831998554,30.446531207394713,30.13062587720583,30.429454803466797,37614200,0.0,0.0
2020-01-03,29.86594028395375,30.011088058626886,29.67810313684393,29.797637939453125,50357900,0.0,0.0
2020-01-06,29.37928412849453,29.797647935496926,29.345131316292,29.754955291748047,42185000,0.0,0.0
2020-01-07,29.626876461621816,29.814710347106164,29.48172869053045,29.558570861816406,34149000,0.0,0.0
2020-01-08,29.515890746114945,30.045246282642722,29.498814340808725,29.857412338256836,45311600,0.0,0.0
2020-01-09,30.139162662298638,30.164778896865887,29.83179390341999,29.90863609313965,39861600,0.0,0.0
2020-01-10,29.883026113325492,29.942791904992834,29.592733729373535,29.661039352416992,39730400,0.0,0.0
2020-01-13,29.746414601147094,29.94278835865202,29.592730224492634,29.93425178527832,37956100,0.0,0.0
2020-01-14,30.13915643334372,30.455061700461613,29.97693551390272,30.156232833862305,66719300,0.0,0.0
2020-01-15,29.68664505413543,29.703721455709584,29.319510562767512,29.60126304626465,74745500,0.0,0.0
2020-01-16,29.79764533727816,29.874487529537845,29.541502525085107,29.64396095275879,50368500,0.0,0.0
2020-01-17,29.814711444136194,29.8403276735009,29.54149554884212,29.635414123535156,54156100,0.0,0.0
2020-01-21,29.38781723472955,29.473199255159177,29.217059707852403,29.251209259033203,50811000,0.0,0.0
2020-01-22,29.345130202160497,29.413435823972232,29.225598620981277,29.336593627929688,38879700,0.0,0.0
2020-01-23,29.106062744311078,29.251207283753523,28.79869400550257,29.131675720214844,45717100,0.0,0.0
2020-01-24,29.13168117386512,29.148757579994726,28.405951826809723,28.636478424072266,47797200,0.0,0.0
2020-01-27,27.808288682159855,28.28641824914776,27.72290991451508,28.047351837158203,57096200,0.0,0.0
2020-01-28,28.19249767011296,28.593785015234957,28.13273188556172,28.380334854125977,38834600,0.0,0.0
2020-01-29,28.45717918415175,28.55109452623554,28.15834698191385,28.1839599609375,37414700,0.0,0.0
